state,city,RDPC
RJ,Belford Roxo/RJ,491.51
MG,Belmiro Braga/MG,464.5
BA,Belmonte/BA,289.9
SC,Belmonte/SC,620.67
BA,Belo Campo/BA,263.52
MG,Belo Horizonte/MG,1497.29
PE,Belo Jardim/PE,372.93
AL,Belo Monte/AL,187.77
MG,Belo Oriente/MG,470.05
MG,Belo Vale/MG,524.03
PA,Belterra/PA,241.57
MA,Belágua/MA,107.14
PE,Belém de Maria/PE,226.82
PB,Belém do Brejo do Cruz/PB,245.71
PI,Belém do Piauí/PI,226.26
PE,Belém do São Francisco/PE,357.77
AL,Belém/AL,309.5
PA,Belém/PA,853.82
PB,Belém/PB,256.2
PI,Beneditinos/PI,263.09
MA,Benedito Leite/MA,217.65
SC,Benedito Novo/SC,717.89
PA,Benevides/PA,385.83
RS,Benjamin Constant do Sul/RS,336.44
AM,Benjamin Constant/AM,211.1
RN,Bento Fernandes/RN,233.48
RS,Bento Gonçalves/RS,1196.56
SP,Bento de Abreu/SP,647.1
MA,Bequimão/MA,190.84
MG,Berilo/MG,295.62
MG,Berizal/MG,261.24
PB,Bernardino Batista/PB,211.04
SP,Bernardino de Campos/SP,676.6
TO,Bernardo Sayão/TO,347.03
MA,Bernardo do Mearim/MA,236.18
SP,Bertioga/SP,736.03
PI,Bertolínia/PI,325.94
MG,Bertópolis/MG,288.77
AM,Beruri/AM,193.4
MG,Betim/MG,660.56
PI,Betânia do Piauí/PI,164.69
PE,Betânia/PE,220.19
PE,Bezerros/PE,351.75
MG,Bias Fortes/MG,344.35
MG,Bicas/MG,735.0
SC,Biguaçu/SC,764.37
SP,Bilac/SP,816.06
MG,Biquinhas/MG,565.37
SP,Birigui/SP,812.51
SP,Biritiba Mirim/SP,662.23
BA,Biritinga/BA,209.37
PR,Bituruna/PR,443.43
SC,Blumenau/SC,1253.17
PR,Boa Esperança do Iguaçu/PR,527.03
SP,Boa Esperança do Sul/SP,593.36
ES,Boa Esperança/ES,460.69
MG,Boa Esperança/MG,599.17
PR,Boa Esperança/PR,575.77
PI,Boa Hora/PI,221.27
BA,Boa Nova/BA,223.48
PR,Boa Ventura de São Roque/PR,415.44
PB,Boa Ventura/PB,271.06
CE,Boa Viagem/CE,250.47
PR,Boa Vista da Aparecida/PR,510.39
RS,Boa Vista das Missões/RS,505.89
RS,Boa Vista do Buricá/RS,909.95
RS,Boa Vista do Cadeado/RS,594.94
MA,Boa Vista do Gurupi/MA,196.78
RS,Boa Vista do Incra/RS,633.52
AM,Boa Vista do Ramos/AM,175.55
RS,Boa Vista do Sul/RS,964.35
BA,Boa Vista do Tupim/BA,195.71
PB,Boa Vista/PB,314.11
RR,Boa Vista/RR,786.55
AL,Boca da Mata/AL,260.2
AM,Boca do Acre/AM,288.42
MG,Bocaina de Minas/MG,501.73
SC,Bocaina do Sul/SC,434.87
PI,Bocaina/PI,366.07
SP,Bocaina/SP,805.99
PR,Bocaiúva do Sul/PR,547.26
MG,Bocaiúva/MG,451.54
PE,Bodocó/PE,234.36
MS,Bodoquena/MS,500.13
RN,Bodó/RN,277.16
SP,Bofete/SP,622.11
SP,Boituva/SP,889.51
PE,Bom Conselho/PE,305.57
MG,Bom Despacho/MG,809.9
SC,Bom Jardim da Serra/SC,665.6
GO,Bom Jardim de Goiás/GO,551.54
MG,Bom Jardim de Minas/MG,464.99
MA,Bom Jardim/MA,202.28
PE,Bom Jardim/PE,248.98
RJ,Bom Jardim/RJ,649.62
BA,Bom Jesus da Lapa/BA,367.62
MG,Bom Jesus da Penha/MG,607.73
BA,Bom Jesus da Serra/BA,223.19
MA,Bom Jesus das Selvas/MA,226.09
GO,Bom Jesus de Goiás/GO,618.62
MG,Bom Jesus do Amparo/MG,472.21
MT,Bom Jesus do Araguaia/MT,500.5
MG,Bom Jesus do Galho/MG,368.0
RJ,Bom Jesus do Itabapoana/RJ,717.69
ES,Bom Jesus do Norte/ES,584.06
SC,Bom Jesus do Oeste/SC,728.09
PR,Bom Jesus do Sul/PR,430.51
PA,Bom Jesus do Tocantins/PA,337.28
TO,Bom Jesus do Tocantins/TO,381.43
SP,Bom Jesus dos Perdões/SP,688.02
PB,Bom Jesus/PB,303.29
PI,Bom Jesus/PI,501.14
RN,Bom Jesus/RN,300.38
RS,Bom Jesus/RS,611.26
SC,Bom Jesus/SC,798.97
MA,Bom Lugar/MA,164.44
PI,Bom Princípio do Piauí/PI,211.44
RS,Bom Princípio/RS,855.42
RS,Bom Progresso/RS,623.82
MG,Bom Repouso/MG,447.85
RS,Bom Retiro do Sul/RS,728.62
SC,Bom Retiro/SC,638.85
SP,Bom Sucesso de Itararé/SP,344.32
PR,Bom Sucesso do Sul/PR,639.33
MG,Bom Sucesso/MG,551.39
PB,Bom Sucesso/PB,257.9
PR,Bom Sucesso/PR,592.27
SC,Bombinhas/SC,865.15
PI,Bonfim do Piauí/PI,233.05
MG,Bonfim/MG,512.94
RR,Bonfim/RR,329.22
MG,Bonfinópolis de Minas/MG,472.15
GO,Bonfinópolis/GO,520.02
BA,Boninal/BA,267.7
MG,Bonito de Minas/MG,195.65
PB,Bonito de Santa Fé/PB,267.09
BA,Bonito/BA,249.0
MS,Bonito/MS,679.03
PA,Bonito/PA,218.05
PE,Bonito/PE,258.52
GO,Bonópolis/GO,403.94
RS,Boqueirão do Leão/RS,726.61
PI,Boqueirão do Piauí/PI,253.4
PB,Boqueirão/PB,319.11
SE,Boquim/SE,296.54
BA,Boquira/BA,266.71
SP,Boracéia/SP,719.42
AM,Borba/AM,219.83
PB,Borborema/PB,236.01
SP,Borborema/SP,664.64
MG,Borda da Mata/MG,635.37
SP,Borebi/SP,529.08
PR,Borrazópolis/PR,604.08
SP,Borá/SP,670.27
RS,Bossoroca/RS,502.18
MG,Botelhos/MG,630.12
SP,Botucatu/SP,1089.1
